index,concept,importance_mtlasso,importance_baseline,count
0,8_Closure,0.783385,0.784083,1
1,8_Final_Confrontation,0.698635,0.761089,1
2,8_Return,0.688153,0.813729,1
3,9_Resurrection,0.662111,0.517167,1
4,7_Denouement,0.648353,0.481434,1
5,5_Confrontation_of_Suspects,0.609561,0.715803,1
6,9_Resolution_and_Aftermath,0.589373,0.662537,1
7,10_Return_with_Elixir,0.588487,0.356588,1
8,7_Final_Revelation,0.556977,0.881605,1
9,7_Reward,0.551346,0.662537,1
10,7_Realization_or_Insight,0.546688,0.905502,1
11,6_Red-Herrings_and_False_Leads,0.526120,0.566444,1
12,2_Meeting_with_Mentor,0.507137,0.718193,1
13,3_Initial_Investigation,0.487493,0.852854,1
14,5_Falling_Action,0.472241,0.706960,1
15,4_Development_of_Resistance,0.463757,0.786586,1
16,7_Final_Act,0.458669,0.497619,1
17,5_Approach_to_Inmost_Cave,0.454070,0.786904,1
18,6_Resolution,0.428581,0.662656,1
19,6_Downfall,0.425423,0.580827,1
20,4_Uncovering_Secrets_and_Clues,0.421832,0.761731,1
21,6_Consequence_of_Resistance,0.418629,0.725890,1
22,4_Climax,0.416103,0.761731,1
23,5_Crisis_and_Struggle,0.402088,0.743845,1
24,2_Presentation_of_Mystery,0.394862,0.743845,1
25,2_Revelation_of_the_System,0.380480,0.764539,1
26,5_Crisis,0.377948,0.720000,1
27,3_Departure,0.357369,0.689158,1
28,6_Ordeal,0.344302,0.689158,1
29,3_Protagonist's_Awakening,0.339000,0.649865,1
30,1_Call_to_Adventure,0.302120,0.599955,1
31,3_Awakening,0.223677,0.450967,1
32,4_Trials_and_Challenges,0.191391,0.450967,1
33,1_Establishment_of_Setting_and_Characters,0.182748,0.328437,1
34,1_Introduction_of_Characters_and_Setting,0.164651,0.328437,1
35,4_Confrontation,0.145646,0.328437,1
36,2_Catalyst,0.000000,0.000000,2
37,1_Set_Up,0.000000,0.000000,1
38,1_Normalcy,0.000000,0.000000,1
39,3_Rising_Action,0.000000,0.000000,1
